"id","season","round","hometeam","awayteam","goals_home_team","goals_away_team","matchdate","timestamp"
"411593","2017-18",35,"AFC Bournemouth","Man. Utd","0","2","18/04/2018",1523998800
"411597","2017-18",35,"Leicester","Southampton","0","0","19/04/2018",1524085200
"411601","2017-18",35,"West Bromwich Albion","Liverpool","2","2","21/04/2018",1524258000
"411600","2017-18",35,"Watford","Crystal Palace","0","0","21/04/2018",1524258000
"411599","2017-18",35,"Stoke City","Burnley","1","1","22/04/2018",1524344400
"411592","2017-18",35,"Arsenal","West Ham","4","1","22/04/2018",1524344400
"411598","2017-18",35,"Man. City","Swansea City","5","0","22/04/2018",1524344400
"411596","2017-18",35,"Everton","Newcastle","1","0","23/04/2018",1524430800
"411605","2017-18",36,"Liverpool","Stoke City","0","0","28/04/2018",1524862800
"411602","2017-18",36,"Burnley","Brighton & Hove Albion","0","0","28/04/2018",1524862800
"411608","2017-18",36,"Southampton","AFC Bournemouth","2","1","28/04/2018",1524862800
"411607","2017-18",36,"Newcastle","West Bromwich Albion","0","1","28/04/2018",1524862800
"411604","2017-18",36,"Huddersfield Town","Everton","0","2","28/04/2018",1524862800
"411603","2017-18",36,"Crystal Palace","Leicester","5","0","28/04/2018",1524862800
"411609","2017-18",36,"Swansea City","Chelsea","0","1","28/04/2018",1524862800
"411611","2017-18",36,"West Ham","Man. City","1","4","29/04/2018",1524949200
"411606","2017-18",36,"Man. Utd","Arsenal","2","1","29/04/2018",1524949200
"411610","2017-18",36,"Tottenham Hotspur","Watford","2","0","30/04/2018",1525035600
"411614","2017-18",37,"Brighton & Hove Albion","Man. Utd","1","0","04/05/2018",1525381200
"411619","2017-18",37,"Stoke City","Crystal Palace","1","2","05/05/2018",1525467600
"411621","2017-18",37,"West Bromwich Albion","Tottenham Hotspur","1","0","05/05/2018",1525467600
"411620","2017-18",37,"Watford","Newcastle","2","1","05/05/2018",1525467600
"411617","2017-18",37,"Leicester","West Ham","0","2","05/05/2018",1525467600
"411613","2017-18",37,"AFC Bournemouth","Swansea City","1","0","05/05/2018",1525467600
"411616","2017-18",37,"Everton","Southampton","1","1","05/05/2018",1525467600
